Text,Label
"If you're looking for a decent getaway, look no further than Contoso Suites.",Average
"If you're looking for a okay getaway, look no further than Contoso Suites.",Average
"If you're looking for a abysmal getaway, look no further than Alpine Ski House.",Terrible
My stay at Contoso Suites was absolutely commendable and satisfying.,Very good
"If you're looking for a acceptable getaway, look no further than Contoso Suites.",Average
"Margie's Travel was exceptional. The rooms were fantastic, and the food was brilliant.",Excellent
"If you're looking for a fine getaway, look no further than Margie's Travel.",Average
"I recently stayed at Margie's Travel, and my experience was mediocre.",Poor
"I recently stayed at Margie's Travel, and my experience was lackluster.",Poor
Margie's Travel is a below average hotel.,Poor
Contoso Suites is a decent hotel.,Average
Contoso Suites is a okay hotel.,Average
My stay at Alpine Ski House was absolutely impressive and worthy.,Very good
"Margie's Travel was outstanding. The rooms were superb, and the food was brilliant.",Excellent
I stayed at Contoso Suites and my experience was outstanding. The hotel had superb amenities and the staff was amazing.,Excellent
"If you're looking for a below average getaway, look no further than Contoso Suites.",Poor
"I recently stayed at Contoso Suites, and my experience was ordinary.",Average
Alpine Ski House is a mediocre hotel.,Poor
"If you're looking for a faulty getaway, look no further than Alpine Ski House.",Poor
"If you're looking for a inferior getaway, look no further than Contoso Suites.",Poor
My time at Margie's Travel was great. The service was pleasing,Very good
"If you're looking for a mediocre getaway, look no further than Contoso Suites.",Poor
Alpine Ski House is a adequate hotel.,Average
Contoso Suites is a wretched hotel.,Terrible
"Alpine Ski House is stellar. The decor was exceptional, and the staff was top-notch",Excellent
"Alpine Ski House was remarkable. The rooms were exceptional, and the food was superb.",Excellent
"I recently stayed at Contoso Suites, and my experience was atrocious.",Terrible
"If you're looking for a inferior getaway, look no further than Margie's Travel.",Poor
Margie's Travel is a faulty hotel.,Poor
"I recently stayed at Alpine Ski House, and my experience was terrible.",Terrible
"I recently stayed at Alpine Ski House, and my experience was subpar.",Poor
My stay at Margie's Travel was absolutely impressive and impressive.,Very good
"If you're looking for a satisfactory getaway, look no further than Margie's Travel.",Average
"I recently stayed at Contoso Suites, and my experience was horrible.",Terrible
Alpine Ski House is a fair hotel.,Average
Alpine Ski House is a disappointing hotel.,Poor
Margie's Travel is a disastrous hotel.,Terrible
"I recently stayed at Alpine Ski House, and my experience was underwhelming.",Poor
"I recently stayed at Contoso Suites, and my experience was lousy.",Terrible
Margie's Travel is a abysmal hotel.,Terrible
Contoso Suites is a mediocre hotel.,Poor
"I recently stayed at Contoso Suites, and my experience was terrible.",Terrible
"I recently stayed at Contoso Suites, and my experience was disappointing.",Poor
I stayed at Contoso Suites and my experience was wonderful. The hotel had fantastic amenities and the staff was wonderful.,Excellent
Contoso Suites is a awful hotel.,Terrible
Contoso Suites is a lousy hotel.,Terrible
"If you're looking for a unsatisfactory getaway, look no further than Margie's Travel.",Poor
"If you're looking for a okay getaway, look no further than Alpine Ski House.",Average
"Margie's Travel was top-notch. The rooms were exceptional, and the food was remarkable.",Excellent
"Margie's Travel was wonderful. The rooms were superb, and the food was stellar.",Excellent
"I recently stayed at Contoso Suites, and my experience was disappointing.",Poor
"I recently stayed at Alpine Ski House, and my experience was tolerable.",Average
"If you're looking for a dreadful getaway, look no further than Contoso Suites.",Terrible
"I recently stayed at Contoso Suites, and my experience was mediocre.",Poor
I stayed at Contoso Suites and my experience was remarkable. The hotel had top-notch amenities and the staff was amazing.,Excellent
I stayed at Alpine Ski House and my experience was fantastic. The hotel had wonderful amenities and the staff was top-notch.,Excellent
I stayed at Contoso Suites and my experience was wonderful. The hotel had outstanding amenities and the staff was fantastic.,Excellent
My time at Margie's Travel was satisfying. The service was commendable,Very good
Margie's Travel is a acceptable hotel.,Average
"If you're looking for a disappointing getaway, look no further than Alpine Ski House.",Poor
My time at Contoso Suites was commendable. The service was good,Very good
My stay at Margie's Travel was absolutely satisfying and great.,Very good
"I recently stayed at Contoso Suites, and my experience was mediocre.",Poor
"Margie's Travel was superb. The rooms were amazing, and the food was stellar.",Excellent
"I recently stayed at Margie's Travel, and my experience was mediocre.",Poor
"I recently stayed at Contoso Suites, and my experience was acceptable.",Average
"Contoso Suites is remarkable. The decor was outstanding, and the staff was remarkable",Excellent
"If you're looking for a passable getaway, look no further than Alpine Ski House.",Average
Alpine Ski House is a awful hotel.,Terrible
"If you're looking for a terrible getaway, look no further than Alpine Ski House.",Terrible
"If you're looking for a below average getaway, look no further than Contoso Suites.",Poor
My stay at Alpine Ski House was absolutely excellent and worthy.,Very good
"If you're looking for a decent getaway, look no further than Margie's Travel.",Average
"If you're looking for a atrocious getaway, look no further than Alpine Ski House.",Terrible
Margie's Travel is a below average hotel.,Poor
Margie's Travel is a atrocious hotel.,Terrible
"If you're looking for a underwhelming getaway, look no further than Margie's Travel.",Poor
My time at Margie's Travel was superior. The service was good,Very good
"If you're looking for a fair getaway, look no further than Alpine Ski House.",Average
Margie's Travel is a deficient hotel.,Poor
"I recently stayed at Margie's Travel, and my experience was adequate.",Average
Contoso Suites was superior. The rooms were worthy.,Very good
"I recently stayed at Margie's Travel, and my experience was abysmal.",Terrible
"I recently stayed at Margie's Travel, and my experience was wretched.",Terrible
Contoso Suites is a underwhelming hotel.,Poor
"If you're looking for a faulty getaway, look no further than Contoso Suites.",Poor
"Contoso Suites is outstanding. The decor was wonderful, and the staff was outstanding",Excellent
"I recently stayed at Alpine Ski House, and my experience was decent.",Average
Contoso Suites was impressive. The rooms were superior.,Very good
I stayed at Alpine Ski House and my experience was brilliant. The hotel had amazing amenities and the staff was remarkable.,Excellent
Margie's Travel was satisfying. The rooms were great.,Very good
"Alpine Ski House was stellar. The rooms were top-notch, and the food was amazing.",Excellent
"I recently stayed at Margie's Travel, and my experience was lousy.",Terrible
Alpine Ski House is a mediocre hotel.,Poor
Contoso Suites is a deficient hotel.,Poor
"I recently stayed at Contoso Suites, and my experience was fair.",Average
"I recently stayed at Margie's Travel, and my experience was dreadful.",Terrible
"I recently stayed at Margie's Travel, and my experience was faulty.",Poor
"If you're looking for a abysmal getaway, look no further than Alpine Ski House.",Terrible
"If you're looking for a adequate getaway, look no further than Margie's Travel.",Average
"If you're looking for a mediocre getaway, look no further than Alpine Ski House.",Poor
Contoso Suites was satisfying. The rooms were great.,Very good
"I recently stayed at Margie's Travel, and my experience was terrible.",Terrible
"If you're looking for a disappointing getaway, look no further than Alpine Ski House.",Poor
Contoso Suites is a abysmal hotel.,Terrible
"If you're looking for a deficient getaway, look no further than Contoso Suites.",Poor
"I recently stayed at Alpine Ski House, and my experience was disappointing.",Poor
"If you're looking for a underwhelming getaway, look no further than Contoso Suites.",Poor
My time at Margie's Travel was pleasing. The service was superior,Very good
Alpine Ski House is a satisfactory hotel.,Average
"I recently stayed at Contoso Suites, and my experience was disastrous.",Terrible
"I recently stayed at Margie's Travel, and my experience was wretched.",Terrible
"If you're looking for a subpar getaway, look no further than Alpine Ski House.",Poor
My time at Margie's Travel was commendable. The service was fine,Very good
"Margie's Travel is top-notch. The decor was remarkable, and the staff was superb",Excellent
"I recently stayed at Alpine Ski House, and my experience was okay.",Average
Alpine Ski House is a dreadful hotel.,Terrible
I stayed at Alpine Ski House and my experience was fantastic. The hotel had top-notch amenities and the staff was stellar.,Excellent
Contoso Suites is a okay hotel.,Average
Margie's Travel is a subpar hotel.,Poor
"Margie's Travel was fantastic. The rooms were wonderful, and the food was fantastic.",Excellent
"I recently stayed at Margie's Travel, and my experience was okay.",Average
I stayed at Contoso Suites and my experience was wonderful. The hotel had exceptional amenities and the staff was brilliant.,Excellent
Contoso Suites is a underwhelming hotel.,Poor
"I recently stayed at Contoso Suites, and my experience was fair.",Average
"I recently stayed at Alpine Ski House, and my experience was okay.",Average
"I recently stayed at Margie's Travel, and my experience was underwhelming.",Poor
Alpine Ski House is a atrocious hotel.,Terrible
Margie's Travel is a lackluster hotel.,Poor
Contoso Suites was impressive. The rooms were great.,Very good
Contoso Suites was excellent. The rooms were superior.,Very good
"I recently stayed at Margie's Travel, and my experience was adequate.",Average
My time at Contoso Suites was worthy. The service was fine,Very good
"If you're looking for a inferior getaway, look no further than Contoso Suites.",Poor
Margie's Travel was superior. The rooms were pleasing.,Very good
My time at Margie's Travel was commendable. The service was commendable,Very good
"If you're looking for a deficient getaway, look no further than Margie's Travel.",Poor
Contoso Suites is a faulty hotel.,Poor
Alpine Ski House is a acceptable hotel.,Average
Margie's Travel is a below average hotel.,Poor
Alpine Ski House is a deficient hotel.,Poor
"Contoso Suites was exceptional. The rooms were stellar, and the food was stellar.",Excellent
"I recently stayed at Margie's Travel, and my experience was abysmal.",Terrible
Margie's Travel was commendable. The rooms were excellent.,Very good
"If you're looking for a disastrous getaway, look no further than Contoso Suites.",Terrible
"If you're looking for a faulty getaway, look no further than Alpine Ski House.",Poor
"Margie's Travel is top-notch. The decor was brilliant, and the staff was superb",Excellent
My time at Contoso Suites was pleasing. The service was good,Very good
I stayed at Alpine Ski House and my experience was stellar. The hotel had remarkable amenities and the staff was amazing.,Excellent
"If you're looking for a underwhelming getaway, look no further than Margie's Travel.",Poor
"I recently stayed at Alpine Ski House, and my experience was deficient.",Poor
Margie's Travel is a satisfactory hotel.,Average
My stay at Alpine Ski House was absolutely excellent and impressive.,Very good
Margie's Travel is a deficient hotel.,Poor
"If you're looking for a terrible getaway, look no further than Alpine Ski House.",Terrible
I stayed at Contoso Suites and my experience was wonderful. The hotel had brilliant amenities and the staff was outstanding.,Excellent
Margie's Travel is a terrible hotel.,Terrible
My time at Margie's Travel was satisfying. The service was great,Very good
Margie's Travel is a disastrous hotel.,Terrible
Margie's Travel is a satisfactory hotel.,Average
My time at Margie's Travel was fine. The service was great,Very good
"Alpine Ski House is exceptional. The decor was brilliant, and the staff was top-notch",Excellent
Margie's Travel is a dreadful hotel.,Terrible
"I recently stayed at Margie's Travel, and my experience was decent.",Average
"I recently stayed at Contoso Suites, and my experience was mediocre.",Poor
"If you're looking for a appalling getaway, look no further than Contoso Suites.",Terrible
Margie's Travel is a ordinary hotel.,Average
My stay at Margie's Travel was absolutely fine and pleasing.,Very good
"If you're looking for a okay getaway, look no further than Contoso Suites.",Average
Alpine Ski House is a below average hotel.,Poor
I stayed at Contoso Suites and my experience was superb. The hotel had amazing amenities and the staff was remarkable.,Excellent
Margie's Travel is a underwhelming hotel.,Poor
Alpine Ski House was pleasing. The rooms were satisfying.,Very good
"I recently stayed at Contoso Suites, and my experience was inferior.",Poor
Margie's Travel is a terrible hotel.,Terrible
"I recently stayed at Alpine Ski House, and my experience was satisfactory.",Average
I stayed at Margie's Travel and my experience was remarkable. The hotel had wonderful amenities and the staff was outstanding.,Excellent
"I recently stayed at Alpine Ski House, and my experience was subpar.",Poor
Margie's Travel is a fine hotel.,Average
Alpine Ski House is a acceptable hotel.,Average
Margie's Travel is a faulty hotel.,Poor
"If you're looking for a disappointing getaway, look no further than Contoso Suites.",Poor
Contoso Suites is a satisfactory hotel.,Average
"Contoso Suites was exceptional. The rooms were fantastic, and the food was stellar.",Excellent
Margie's Travel is a passable hotel.,Average
I stayed at Contoso Suites and my experience was stellar. The hotel had top-notch amenities and the staff was superb.,Excellent
My time at Margie's Travel was fine. The service was worthy,Very good
My stay at Margie's Travel was absolutely good and impressive.,Very good
"I recently stayed at Alpine Ski House, and my experience was ordinary.",Average
"I recently stayed at Contoso Suites, and my experience was inferior.",Poor
Contoso Suites is a subpar hotel.,Poor
"Margie's Travel was amazing. The rooms were brilliant, and the food was remarkable.",Excellent
Margie's Travel is a ordinary hotel.,Average
Contoso Suites is a fine hotel.,Average
My stay at Contoso Suites was absolutely impressive and great.,Very good
"If you're looking for a awful getaway, look no further than Alpine Ski House.",Terrible
I stayed at Margie's Travel and my experience was exceptional. The hotel had superb amenities and the staff was amazing.,Excellent
"I recently stayed at Contoso Suites, and my experience was fine.",Average
Margie's Travel is a fine hotel.,Average
"If you're looking for a disappointing getaway, look no further than Margie's Travel.",Poor
Margie's Travel is a lousy hotel.,Terrible
Margie's Travel is a deficient hotel.,Poor
"I recently stayed at Alpine Ski House, and my experience was adequate.",Average
"If you're looking for a below average getaway, look no further than Alpine Ski House.",Poor
"I recently stayed at Margie's Travel, and my experience was dreadful.",Terrible
"If you're looking for a mediocre getaway, look no further than Contoso Suites.",Poor
I stayed at Margie's Travel and my experience was wonderful. The hotel had amazing amenities and the staff was outstanding.,Excellent
I stayed at Contoso Suites and my experience was brilliant. The hotel had top-notch amenities and the staff was stellar.,Excellent
I stayed at Margie's Travel and my experience was top-notch. The hotel had top-notch amenities and the staff was superb.,Excellent
"I recently stayed at Alpine Ski House, and my experience was inferior.",Poor
"I recently stayed at Margie's Travel, and my experience was disastrous.",Terrible
"If you're looking for a adequate getaway, look no further than Margie's Travel.",Average
"If you're looking for a wretched getaway, look no further than Margie's Travel.",Terrible
My stay at Contoso Suites was absolutely fine and good.,Very good
"If you're looking for a dreadful getaway, look no further than Contoso Suites.",Terrible
My time at Contoso Suites was commendable. The service was fine,Very good
"I recently stayed at Alpine Ski House, and my experience was below average.",Poor
"Margie's Travel is brilliant. The decor was wonderful, and the staff was exceptional",Excellent
"Alpine Ski House is remarkable. The decor was outstanding, and the staff was stellar",Excellent
"I recently stayed at Alpine Ski House, and my experience was tolerable.",Average
"If you're looking for a atrocious getaway, look no further than Contoso Suites.",Terrible
"Alpine Ski House is outstanding. The decor was fantastic, and the staff was outstanding",Excellent
Alpine Ski House is a unsatisfactory hotel.,Poor
Contoso Suites is a fair hotel.,Average
I stayed at Alpine Ski House and my experience was amazing. The hotel had superb amenities and the staff was amazing.,Excellent
"If you're looking for a atrocious getaway, look no further than Margie's Travel.",Terrible
"If you're looking for a deficient getaway, look no further than Contoso Suites.",Poor
Contoso Suites is a satisfactory hotel.,Average
Alpine Ski House is a ordinary hotel.,Average
"If you're looking for a okay getaway, look no further than Alpine Ski House.",Average
Alpine Ski House is a subpar hotel.,Poor
Alpine Ski House was satisfying. The rooms were superior.,Very good
"Contoso Suites was remarkable. The rooms were superb, and the food was wonderful.",Excellent
"Contoso Suites is brilliant. The decor was outstanding, and the staff was wonderful",Excellent
"I recently stayed at Contoso Suites, and my experience was deficient.",Poor
"I recently stayed at Alpine Ski House, and my experience was below average.",Poor
"I recently stayed at Contoso Suites, and my experience was below average.",Poor
"I recently stayed at Alpine Ski House, and my experience was fine.",Average
"If you're looking for a mediocre getaway, look no further than Alpine Ski House.",Poor
Contoso Suites is a atrocious hotel.,Terrible
"If you're looking for a disappointing getaway, look no further than Contoso Suites.",Poor
"I recently stayed at Alpine Ski House, and my experience was deficient.",Poor
My time at Alpine Ski House was worthy. The service was worthy,Very good
Contoso Suites was great. The rooms were excellent.,Very good
"If you're looking for a fair getaway, look no further than Margie's Travel.",Average
"If you're looking for a fair getaway, look no further than Margie's Travel.",Average
Alpine Ski House is a disappointing hotel.,Poor
"Margie's Travel is remarkable. The decor was brilliant, and the staff was fantastic",Excellent
My stay at Alpine Ski House was absolutely excellent and worthy.,Very good
I stayed at Margie's Travel and my experience was exceptional. The hotel had superb amenities and the staff was wonderful.,Excellent
"I recently stayed at Margie's Travel, and my experience was satisfactory.",Average
My stay at Margie's Travel was absolutely worthy and commendable.,Very good
My stay at Margie's Travel was absolutely commendable and satisfying.,Very good
"I recently stayed at Margie's Travel, and my experience was disastrous.",Terrible
Contoso Suites was fine. The rooms were impressive.,Very good
"If you're looking for a fair getaway, look no further than Alpine Ski House.",Average
Margie's Travel is a mediocre hotel.,Poor
"I recently stayed at Alpine Ski House, and my experience was adequate.",Average
My time at Margie's Travel was superior. The service was superior,Very good
My time at Alpine Ski House was fine. The service was great,Very good
My time at Contoso Suites was good. The service was pleasing,Very good
My time at Margie's Travel was impressive. The service was superior,Very good
"If you're looking for a terrible getaway, look no further than Margie's Travel.",Terrible
"If you're looking for a fine getaway, look no further than Alpine Ski House.",Average
Margie's Travel is a below average hotel.,Poor
"If you're looking for a passable getaway, look no further than Margie's Travel.",Average
Margie's Travel is a mediocre hotel.,Poor
"If you're looking for a below average getaway, look no further than Contoso Suites.",Poor
Alpine Ski House was great. The rooms were satisfying.,Very good
"I recently stayed at Margie's Travel, and my experience was disappointing.",Poor
"If you're looking for a okay getaway, look no further than Margie's Travel.",Average
Margie's Travel was great. The rooms were pleasing.,Very good
Contoso Suites is a lackluster hotel.,Poor
Contoso Suites is a underwhelming hotel.,Poor
"I recently stayed at Margie's Travel, and my experience was fine.",Average
I stayed at Contoso Suites and my experience was superb. The hotel had stellar amenities and the staff was brilliant.,Excellent
My stay at Margie's Travel was absolutely superior and fine.,Very good
Margie's Travel is a inferior hotel.,Poor
"If you're looking for a fair getaway, look no further than Contoso Suites.",Average
"I recently stayed at Alpine Ski House, and my experience was appalling.",Terrible
"I recently stayed at Margie's Travel, and my experience was faulty.",Poor
I stayed at Alpine Ski House and my experience was wonderful. The hotel had fantastic amenities and the staff was exceptional.,Excellent
Margie's Travel is a horrible hotel.,Terrible
I stayed at Alpine Ski House and my experience was fantastic. The hotel had top-notch amenities and the staff was outstanding.,Excellent
Contoso Suites is a fine hotel.,Average
My time at Margie's Travel was superior. The service was good,Very good
Alpine Ski House is a mediocre hotel.,Poor
My stay at Alpine Ski House was absolutely satisfying and fine.,Very good
"Contoso Suites is remarkable. The decor was top-notch, and the staff was fantastic",Excellent
Contoso Suites is a passable hotel.,Average
"I recently stayed at Margie's Travel, and my experience was fair.",Average
Alpine Ski House was excellent. The rooms were worthy.,Very good
"I recently stayed at Alpine Ski House, and my experience was terrible.",Terrible
"Alpine Ski House is wonderful. The decor was outstanding, and the staff was exceptional",Excellent
My time at Alpine Ski House was commendable. The service was impressive,Very good
"If you're looking for a wretched getaway, look no further than Alpine Ski House.",Terrible
"I recently stayed at Margie's Travel, and my experience was okay.",Average
Alpine Ski House is a abysmal hotel.,Terrible
I stayed at Alpine Ski House and my experience was wonderful. The hotel had brilliant amenities and the staff was stellar.,Excellent
I stayed at Alpine Ski House and my experience was amazing. The hotel had stellar amenities and the staff was outstanding.,Excellent
Margie's Travel is a dreadful hotel.,Terrible
"Contoso Suites was amazing. The rooms were remarkable, and the food was outstanding.",Excellent
"I recently stayed at Contoso Suites, and my experience was faulty.",Poor
Margie's Travel is a dreadful hotel.,Terrible
Margie's Travel is a mediocre hotel.,Poor
"I recently stayed at Margie's Travel, and my experience was deficient.",Poor
"I recently stayed at Alpine Ski House, and my experience was horrible.",Terrible
Margie's Travel is a fine hotel.,Average
"I recently stayed at Alpine Ski House, and my experience was acceptable.",Average
Alpine Ski House is a decent hotel.,Average
"If you're looking for a satisfactory getaway, look no further than Alpine Ski House.",Average
Contoso Suites is a disappointing hotel.,Poor
Alpine Ski House is a okay hotel.,Average
"I recently stayed at Contoso Suites, and my experience was dreadful.",Terrible
Alpine Ski House is a underwhelming hotel.,Poor
Margie's Travel was great. The rooms were superior.,Very good
I stayed at Margie's Travel and my experience was superb. The hotel had exceptional amenities and the staff was superb.,Excellent
"I recently stayed at Margie's Travel, and my experience was fine.",Average
Margie's Travel was commendable. The rooms were good.,Very good
My time at Margie's Travel was impressive. The service was worthy,Very good
"If you're looking for a passable getaway, look no further than Alpine Ski House.",Average
I stayed at Alpine Ski House and my experience was outstanding. The hotel had remarkable amenities and the staff was remarkable.,Excellent
"Alpine Ski House is brilliant. The decor was remarkable, and the staff was remarkable",Excellent
My stay at Margie's Travel was absolutely fine and excellent.,Very good
"I recently stayed at Margie's Travel, and my experience was satisfactory.",Average
"Contoso Suites was stellar. The rooms were exceptional, and the food was wonderful.",Excellent
